Time, Microgrid1.Inverter.Pref, Microgrid1.Inverter.P1, Microgrid1.ESS.Lead acid.SOC
58.25, 3000.0, 2997.487060546875, 0.5643415451049805
58.5, 3000.0, 2997.45361328125, 0.5643459558486938
58.75, 3000.0, 2998.0791015625, 0.564350426197052
59.0, 3000.0, 2998.730224609375, 0.5643547773361206
59.25, 3000.0, 2999.287841796875, 0.5643592476844788
59.5, 3000.0, 2999.1787109375, 0.5643637776374817
59.75, 3000.0, 3000.877685546875, 0.5643682479858398
60.0, 3000.0, 2999.994140625, 0.564372718334198
60.25, 3000.0, 2999.49072265625, 0.5643771290779114
60.5, 3000.0, 2999.931640625, 0.5643815994262695
60.75, 10000.0, 5286.70751953125, 0.5643860101699829
61.0, 10000.0, 9180.5712890625, 0.5643847584724426
61.25, 10000.0, 9793.5029296875, 0.5643736124038696
61.5, 10000.0, 9938.5146484375, 0.5643560886383057
61.75, 10000.0, 9969.71875, 0.5643357038497925
62.0, 10000.0, 9991.91015625, 0.5643154382705688
62.25, 10000.0, 10000.865234375, 0.5642942190170288
62.5, 10000.0, 10000.0576171875, 0.5642719864845276
62.75, 10000.0, 9997.5654296875, 0.5642500519752502
63.0, 10000.0, 9999.2294921875, 0.5642291307449341
63.25, 10000.0, 10000.5341796875, 0.5642072558403015
63.5, 10000.0, 9997.91796875, 0.5641853213310242
63.75, 10000.0, 9998.0908203125, 0.5641630291938782
64.0, 10000.0, 10002.388671875, 0.5641421675682068
64.25, 10000.0, 9998.93359375, 0.5641202330589294
64.5, 10000.0, 10000.2666015625, 0.5640981793403625
64.75, 10000.0, 10003.1787109375, 0.564075767993927
65.0, 10000.0, 10001.3740234375, 0.564053475856781
65.25, 10000.0, 9998.7314453125, 0.5640313029289246
65.5, 5000.0, 8777.861328125, 0.5640094876289368
65.75, 5000.0, 5682.0927734375, 0.5639963150024414
66.0, 5000.0, 5129.669921875, 0.563992977142334
66.25, 5000.0, 5020.06787109375, 0.5639921426773071
66.5, 5000.0, 5001.1875, 0.5639917850494385
