Time, Ptotal
324.5,7946.896484
324.75,7888.848145
325,7875.502441
325.25,7875.502441
325.5,7875.502441
325.75,7875.502441
326,7875.502441
326.25,7875.502441
326.5,7875.502441
326.75,7875.502441
327,7875.502441
327.25,7875.502441
327.5,7875.502441
327.75,7875.502441
328,7875.502441
328.25,7875.502441
328.5,7875.502441
328.75,7875.502441
329,7875.502441
329.25,7875.502441
329.5,7875.502441
329.75,7875.502441
330,7875.502441
330.25,7875.502441
330.5,7875.502441
330.75,7875.502441
331,7875.502441
331.25,7875.502441
331.5,7875.502441
331.75,7875.502441
332,7875.502441
332.25,7875.502441
332.5,7875.502441
332.75,7875.502441
333,7875.502441
333.25,7875.502441
333.5,7875.502441
333.75,7875.502441
334,7875.502441
334.25,7875.502441
334.5,7875.502441
334.75,7875.502441
335,7875.502441
335.25,7875.502441
335.5,7875.502441
335.75,7875.502441
336,7875.502441
336.25,7875.502441
336.5,7875.502441
336.75,7875.502441
337,7875.502441
337.25,7875.502441
337.5,7875.502441
337.75,7875.502441
338,7875.502441
338.25,7875.502441
338.5,7875.502441
338.75,7875.502441
339,7875.502441
339.25,7875.502441
339.5,7875.502441
339.75,7875.502441
340,7875.502441
340.25,7875.502441
