Time, Ptotal,Regd,Time regD
3903.25,13436.52734,,
3903.5,13434.98633,,
3903.75,13434.98633,,
3904,13434.98633,,
3904.25,13434.2002,,
3904.5,13433.80664,,
3904.75,13433.80664,,
3905,13433.80664,,
3905.25,13432.62695,,
3905.5,13432.62695,,
3905.75,13432.62695,,
3906,13432.62695,,
3906.25,13431.57031,,
3906.5,13431.44727,,
3906.75,13431.44727,,
3907,13431.44727,,
3907.25,13431.44727,,
3907.5,13431.44727,,
3907.75,13431.44727,,
3908,13431.44727,,
3908.25,13431.44727,,
3908.5,13431.44727,,
3908.75,13431.44727,,
3909,13431.44727,,
3909.25,13431.44727,,
3909.5,13431.44727,,
3909.75,13431.44727,,
3910,13431.44727,,
3910.25,13431.44727,,
3910.5,13431.44727,,
3910.75,13431.44727,,
3911,13431.44727,,
3911.25,13431.44727,,
3911.5,13431.44727,,
3911.75,13431.44727,,
3912,13431.44727,,
3912.25,13431.44727,,
3912.5,13431.44727,,
3912.75,13431.44727,,
3913,13431.44727,,
3913.25,13431.44727,,
3913.5,13431.44727,,
3913.75,13431.44727,,
3914,13431.44727,,
3914.25,13431.44727,,
3914.5,13431.44727,,
3914.75,13431.44727,,
3915,13431.44727,,
3915.25,13431.44727,,
3915.5,13431.44727,,
3915.75,13431.44727,,
3916,13431.44727,,
3916.25,13431.44727,,
3916.5,13431.44727,,
3916.75,13431.44727,,
3917,13431.44727,,
3917.25,13431.44727,,
3917.5,13431.44727,,
3917.75,13431.44727,,
3918,13431.44727,,
3918.25,13431.44727,,
3918.5,13431.44727,,
3918.75,13431.44727,,
3919,13431.44727,,
3919.25,13431.44727,,
3919.5,13431.44727,,
3919.75,13431.44727,,
3920,13431.44727,,
3920.25,13431.44727,,
3920.5,13469.37988,,
3920.75,13483.2002,,
3921,13515.1543,,
3921.25,13543.05762,,
3921.5,13565.39941,,
3921.75,13584.32617,,
3922,13606.79395,,
3922.25,13631.61523,,
3922.5,13676.86621,,
3922.75,13696.02539,,
3923,13711.14551,,
3923.25,13714.1748,,
3923.5,13770.67188,,
3923.75,13770.67188,,
3924,13776.73926,,
3924.25,13777.2793,,
3924.5,13788.74219,,
3924.75,13788.74219,,
3925,13788.74219,,
3925.25,13789.49414,,
3925.5,13812.85547,,
3925.75,13812.85547,,
3926,13812.85547,,
3926.25,13812.85547,,
3926.5,13831.0332,,
3926.75,13831.0332,,
3927,13831.0332,,
3927.25,13831.0332,,
3927.5,13831.0332,,
3927.75,13831.0332,,
3928,13831.0332,,
3928.25,13831.0332,,
3928.5,13831.0332,,
3928.75,13831.0332,,
3929,13831.0332,,
3929.25,13831.0332,,
3929.5,13831.0332,,
3929.75,13831.0332,,
3930,13831.0332,,
3930.25,13831.0332,,
3930.5,13831.0332,,
3930.75,13831.0332,,
3931,13831.0332,,
3931.25,13831.0332,,
3931.5,13831.0332,,
3931.75,13831.0332,,
3932,13831.0332,,
3932.25,13831.0332,,
3932.5,13831.0332,,
3932.75,13831.0332,,
3933,13831.0332,,
3933.25,13831.0332,,
3933.5,13831.0332,,
3933.75,13831.0332,,
3934,13831.0332,,
3934.25,13831.0332,,
3934.5,13831.0332,,
3934.75,13831.0332,,
3935,13831.0332,,
3935.25,13831.0332,,
3935.5,13831.0332,,
3935.75,13831.0332,,
3936,13831.0332,,
3936.25,13831.0332,,
3936.5,13831.0332,,
3936.75,13831.0332,,
3937,13831.0332,,
3937.25,13831.0332,,
3937.5,13831.0332,,
3937.75,13831.0332,,
3938,13831.0332,,
3938.25,13831.0332,,
3938.5,13831.0332,,
3938.75,13831.0332,,
3939,13831.0332,,
3939.25,13831.0332,,
3939.5,13831.0332,,
3939.75,13831.0332,,
3940,13831.0332,,
3940.25,13831.0332,,
3940.5,13830.2627,,
3940.75,13826.24414,,
3941,13824.58594,,
3941.25,13820.00586,,
3941.5,13814.58789,,
3941.75,13813.69043,,
3942,13808.65137,,
3942.25,13803.5332,,
3942.5,13800.84277,,
3942.75,13792.90234,,
3943,13791.13379,,
3943.25,13788.89941,,
3943.5,13787.38965,,
3943.75,13780.5498,,
3944,13780.20313,,
3944.25,13779.6543,,
3944.5,13778.75684,,
